platform,username,display_name,content_text_cleaned,content_url,timestamp,scraped_at,likes_count,views_count,shares_count,comments_count,replies_count,retweets_count,hashtags,mentions,keyword_used,primary_location,secondary_location,video_id,video_duration,music_title,sentiment,sentiment_confidence,emotion,emotion_confidence,province,PER,ORG,PET,SPORT_HOBBY,INFLUENCER
tiktok,nusa.kriya.aksara,@nusa.kriya.aksara,capcut jokowi bongkar tokoh besar balik roy suryo presiden joko widodo akhir angkat bicara nyata sampai solo juli presiden republik indonesia sebut gamblang tokoh besar balik manuver roy suryo nyata blak blakan jadi sorot publik sirat isu libat roy suryo bukan sekadar kasus personal bagi skenario lebih luas sistematis jokowi tegas langkah langkah tentu belakang muncul saja kuat balik layar sengaja gerak aktor aktor tentu tuju politik tentu meski tak sebut nama langsung publik kini spekulasi siapa tokoh besar maksud isu panas peta politik nasional utama jelang agenda agenda besar negara main panggung sinyal kuat lama sedang kembali ambil posisi satu jokowi tidak lagi tahan diri bukan sekadar ingat ini adalah pesan buka presiden lihat paham apa yang sedang main publik kini tunggu siapa tokoh besar sumber kompastv jokowi roysuryo beritaviral hotnews politikindonesia kompastv beritaterbaru fypindonesia fyp beritahariini viraltiktok breakingnews indonesiaupdate jokowiblakblakan tokohbesar isupanas youtubeshorts tiktoknews medianasional beritapolitik trendinghariini,https://www.tiktok.com/@nusa.kriya.aksara/video/7531256698992987448,2025-07-26T05:22:34+00:00,2025-09-19T04:47:58.539663+00:00,6627,686600,596,734,0,0,"['#CapCut', '#Jokowi', '#RoySuryo', '#BeritaViral', '#HotNews', '#PolitikIndonesia', '#KompasTV', '#BeritaTerbaru', '#FYPIndonesia', '#FYP2025', '#BeritaHariIni', '#ViralTikTok', '#BreakingNews', '#IndonesiaUpdate', '#JokowiBlakBlakan', '#TokohBesar', '#IsuPanas', '#YouTubeShorts', '#TikTokNews', '#MediaNasional', '#BeritaPolitik', '#TrendingHariIni']",[],#politik,,,7.531256698992987e+18,71.0,suara asli - NUSA KRIYA AKSARA,Neutral,0.7365,Stress,0.9855,unknown,"[""Joko Widodo"", ""Roy Suryo""]",,,,"[""Joko Widodo"", ""Jokowi""]"
tiktok,hendrisatrio23,@hendrisatrio23,gibran rakyat makmursejahtera hensa fyp,https://www.tiktok.com/@hendrisatrio23/video/7551631167674535175,2025-09-19T03:05:51+00:00,2025-09-19T04:47:02.935952+00:00,74,1430,1,8,0,0,"['#Gibran', '#Rakyat', '#MakmurSejahtera', '#Hensa', '#FYP']",[],#pemerintah,,,7.551631167674534e+18,15.0,suara asli - Hensa,Neutral,0.8197,Happy,0.8914,unknown,"[""Gibran Rakabuming Raka""]","[""Rakyat Makmurse""]",,,
tiktok,teddyseluma,@teddyseluma,tinjau balita derita cacing kamis september hari tinjau langsung balita asal kabupaten seluma sedang rawat rsud dr m yunus bengkulu akibat derita cacing hadir rupa bentuk peduli sekaligus tanggung jawab perintah daerah pasti masyarakat khusus anak anak dapat tangan sehat layak masalah sehat anak jadi perhati serius sama itu saya telah minta puskesmas posyandu lebih aktif turun masyarakat laku pantau rutin beri edukasi pola hidup bersih sehat pasti beri obat cacing kala anak anak ingin anak anak seluma tumbuh sehat kuat cerdas hindar sakit dapat hambat tumbuh kembang perintah kabupaten seluma komitmen dukung penuh program cegah stunting tingkat gizi generasi muda benar benar siap jadi generasi seluma emas berlian teddyrahman selumaemasberlian selumaserasanseijoan banturakyat fyp,https://www.tiktok.com/@teddyseluma/video/7551467637474118913,2025-09-18T16:31:18+00:00,2025-09-19T04:47:16.017260+00:00,592,23900,83,77,0,0,"['#teddyrahman', '#selumaemasberlian', '#selumaserasanseijoan', '#banturakyat', '#fyp']",[],#pemerintah,RSUD Dr. M. Yunus Bengkulu,"Jl. Bhayangkara, Sido Mulyo, Kec. Gading Cemp., Kota Bengkulu, Bengkulu 38211, Indonesia",7.55146763747412e+18,205.0,suara asli - Helmi Hasan,Neutral,0.6719,Grateful,0.9279,Bengkulu,,,,,
tiktok,o.oriel,@o.oriel,cieee gaji naik uang kosnya juta per bulan x hari juta masih nombok uang beras juta pajak dibayarin negara ai aiindonesia fyppp aiimages fyp viral tiktok fyp fyppppppppppppppppppppppp fyp fypindonesia ai aiimages aiindonesia dpr dprri,https://www.tiktok.com/@o.oriel/video/7541652194458619137,2025-08-23T05:42:46+00:00,2025-09-19T04:47:12.987109+00:00,864900,11100000,46800,26500,0,0,"['#ai', '#aiindonesia', '#fyppp', '#aiimages', '#fypシ', '#fyp', '#fyppppppppppppppppppppppp', '#fypツ', '#FYPIndonesia', '#ai', '#aiimages', '#aiindonesia', '#dpr', '#dprri']",[],#pemerintah,,,7.541652194458619e+18,23.0,suara asli - Mr O - AI Konten Hiburan,Neutral,0.8807,Stress,0.9884,unknown,,"[""DPR Ri""]",,,
tiktok,ranovvvvvv,@ranovvvvvv,suara lewat karya tonton abis jangan pernah diam lawan ketidakadilan suara lewat apa jangan biar habis makan tikus makeup tikus inspired by cakep abiss demo ripdemokrasi indonesia indonesiapusaka ibupertiwi,https://www.tiktok.com/@ranovvvvvv/video/7546950458338856198,2025-09-06T12:22:18+00:00,2025-09-19T04:48:36.083914+00:00,527100,7000000,20200,6450,0,0,"['#demo', '#ripdemokrasi', '#indonesia', '#indonesiapusaka', '#ibupertiwi']",['@ulynovitaa'],#indonesia,,,7.546950458338856e+18,72.0,suara asli - raraaaaa,Negative,0.462,Stress,0.9907,unknown,"[""Tonton Abis""]","[""Abiss Demo""]",,,
twitter,@yngwieocalasty1,yngwieocalastyle,aktif ipoleksosbudhankam ideologi politik ekonomi sosial budaya tahan aman dr tifa beres sistem didik singapura yang orientasi jual ijasah bukan mampu literasi banding indonesia benar,https://x.com/yngwieocalasty1/status/1968844933122371702,2025-09-19T01:09:46.000Z,2025-09-19 11:51:19,0,27,0,0,1,0,[],[],,,,,,,Negative,0.5539,Stress,0.9928,unknown,"[""Dr Tifa""]",,,,
tiktok,klip4sw,@klip4sw,kolaborasi jaga pasok bbm beberapa spbu swasta sempat alami batas stok bbm meski kuota impor tambah perintah jaga sedia menteri esdm bahlil lahadalia ingat spbu swasta bisa beli bbm pertamina langkah laku pasok tetap stabil masyarakat mudah dapat bbm perintah pasti bijak sebut tambah biaya baru spbu swasta jadi solusi sama dukung lancar distribusi energi nasional andryhakim stockwise,https://www.tiktok.com/@klip4sw/video/7551639862881815820,2025-09-19T03:39:43+00:00,2025-09-19T04:47:01.932725+00:00,24,779,3,4,0,0,"['#andryhakim', '#stockwise']",[],#pemerintah,,,7.551639862881815e+18,21.0,suara asli - IcongPemancing,Neutral,0.8703,Stress,0.9574,unknown,"[""Andryhakim Stockwise"", ""Bahlil Lahadalia""]","[""Jaga Pas""]",,,
tiktok,zayskuyy,@zayskuyy,tuju kimjong un fyp kimjongun indonesia korupsi merdeka,https://www.tiktok.com/@zayskuyy/video/7540151246515227910,2025-08-19T04:38:03+00:00,2025-09-19T05:09:08.575613+00:00,171300,2700000,12300,6096,0,0,"['#fyp', '#kimjongun', '#indonesia', '#korupsi', '#merdeka']",[],#indonesia,,,7.540151246515229e+18,32.0,suara asli - dirzzz★,Negative,0.518,Stress,0.9652,unknown,,,,,
tiktok,nanzz_garuda,@nanzz_garuda,kalian siap perangduniake ww prabowosubianto indonesia fyp foryoupage,https://www.tiktok.com/@nanzz_garuda/video/7519166002706304262,2025-06-23T15:24:23+00:00,2025-09-19T05:09:10.599991+00:00,245000,4400000,15900,15200,0,0,"['#perangduniake3', '#ww3', '#prabowosubianto', '#indonesia', '#fyp', '#foryoupage']",[],#indonesia,,,7.519166002706304e+18,20.0,suara asli - Nanzz! 𝖋𝖙 𝐅𝐭𝐛𝐋,Neutral,0.6491,Stress,0.9774,unknown,"[""Prabowo Subianto""]","[""To Indonesia"", ""Yp For""]",,,
tiktok,uzoneindonesia,@uzoneindonesia,hari para driver ojol sekitar markas garda gabung aksi roda indonesia daerah cempaka putih lalu lanjut daerah menteri hubung depan dpr ri langsung aksi jadi tuntut aksi belum penuh juga laku aksi off bid tolak terima pesan bentuk solidaritas antar driver hati hati di jalan uzoners ojol demo ojekonline gojek grab,https://www.tiktok.com/@uzoneindonesia/video/7550880207507311878,2025-09-17T02:31:47+00:00,2025-09-19T05:09:13.618306+00:00,17300,733800,2070,615,0,0,"['#ojol', '#demo', '#ojekonline', '#gojek', '#grab']",[],#indonesia,,,7.550880207507312e+18,115.0,original sound - Uzone Indonesia,Neutral,0.9272,Stress,0.9867,unknown,,"[""DPR Ri""]",,,"[""Gojek""]"
tiktok,history_and_technology,@history_and_technology,ini fenomena turun salju indonesia tahun benar klaim indonesia alami turun salju luas tahun milik dasar ilmiah indonesia negara iklim tropis suhu rata rata tinggi panjang tahun kondisi bentuk salju hampir mungkin jadi datar rendah salju indonesia jadi puncak puncak gunung sangat tinggi puncak jayawijaya penting verifikasi informasi sebar informasi akurat timbul bingung kesalahpahaman masyarakat karena penting selalu verifikasi informasi sumber percaya bmkg lembaga ilmiah lain percaya sebar simpul tidak benar indonesia alami turun salju luas tahun balik salju abadi puncak jayawijaya prediksi hilang sepenuh tahun sebut akibat ubah iklim sama sama lawan sebar hoaks selalu verifikasi informasi edukasi diri kita tentang isu isu penting ubah iklim fypfysainsartificialintelligencehoaxwawasanpendidikanedukasi,https://www.tiktok.com/@history_and_technology/video/7509866677786512645,2025-05-29T13:58:18+00:00,2025-09-19T05:09:15.629961+00:00,22000,855500,3583,2564,0,0,"['#fyp', '#fy', '#sains', '#artificialintelligence', '#hoax', '#wawasan', '#pendidikan', '#edukasi']",[],#indonesia,,,7.509866677786512e+18,18.0,aviansiqma ft dewi cinta,Negative,0.4787,Stress,0.9873,unknown,,"[""Bmkg Lembaga""]",,,
twitter,@msaid_didu,Muhammad Said Didu,bpk presiden yth bpk tulis buku paradoks indonesia bhw indonesia kaya rakyat miskin paradoks pertama paradoks dua yg jadi orang jujur rajin pintar umum miskin yang kaya tukang survey politik komandan buzzer,https://x.com/msaid_didu/status/1968801708878000282,2025-09-18T22:18:00.000Z,2025-09-19 12:13:05,508,14211,0,0,56,221,[],['@prabowo'],,,,,,,Negative,0.808,Stress,0.9832,unknown,,"[""Th Bpk""]",,,
tiktok,anoman_47,@anoman_47,pak anis baswedan sosok pimpin di ajak kompromi soal otomatis tidak rugi negara jual tamabang beliau rakyat biasa sama anda jadi kalo ma kritis bukan pak anis baswedan kritik lah perintah anisbaswedan aniesbaswedan anisbaswedan fyp politik,https://www.tiktok.com/@anoman_47/video/7551558104639360274,2025-09-18T22:22:20+00:00,2025-09-19T05:07:37.942220+00:00,1793,22500,78,222,0,0,"['#anisbaswedan2029', '#aniesbaswedan', '#anisbaswedan', '#fyp', '#politik']",[],#pemerintah,,,7.55155810463936e+18,56.0,suara asli - anoman,Negative,0.7054,Stress,0.9898,unknown,"[""Anis Baswedan""]",,,,
tiktok,bundaevadwiana,@bundaevadwiana,perintah kota bandar lampung komitmen tingkat sejahtera pegawai pemkot aju ratus tenaga honorer angkat jadi pppk paruh waktu walikotabandarlampung bundaeva evadwiana kotabandarlampung bandarlampung,https://www.tiktok.com/@bundaevadwiana/video/7551636093595143480,2025-09-19T03:25:05+00:00,2025-09-19T05:07:48.021330+00:00,86,1279,2,3,0,0,"['#walikotabandarlampung', '#bundaeva', '#evadwiana', '#kotabandarlampung', '#bandarlampung']",[],#pemerintah,Bandar Lampung City,"Lampung, Indonesia",7.551636093595142e+18,82.0,suara asli - Bunda Eva,Neutral,0.9685,Stress,0.9876,Lampung,"[""Bundaeva Evadwiana""]",,,,
tiktok,dj_donny,@dj_donny,,https://www.tiktok.com/@dj_donny/video/7489674983258459400,2025-04-05T04:04:11+00:00,2025-09-19T05:07:53.036307+00:00,123000,1100000,4082,8352,0,0,[],[],#pemerintah,,,7.489674983258459e+18,48.0,suara asli - DJ Donny,unknown,0.0,unknown,0.0,unknown,,,,,
tiktok,cerita.bunda.indah,@cerita.bunda.indah,pemkab lumajang tanggung biaya awat remaja korban celaka tempeh perintah kabupaten pemkab lumajang tunjuk komitmen beri lindung perhati warga lihat langkah cepat bupati lumajang indah amperawati bunda indah langsung jenguk korban celaka lalu lintas jalan umum desa jokarto camat tempeh kamis korban muhammad hafiz nazriel orang ajar asal desa pulo alami luka berat hingga hilang lengan kanan sepeda motor kendara libat tabrak truk isuzu elf bunda indah tegas pemkab lumajang tanggung seluruh biaya awat korban rsud dr haryoto hanya itu perintah pasti ada damping psikologis bantu pulih mental hafiz semua biaya tanggung perintah ingat kondisi cukup berat sembuh fisik akan damping psikolog anak tetap kuat mental ungkap bupati sampai orang tua korban kerja tki malaysia malam akan pulang damping putra pemkab lumajang siap fasilitas butuh keluarga lama proses awat langsung langkah cepat tunjuk serius pemkab lumajang hadir hadir negara tengah masyarakat khusus hadap musibah kondisi darurat bundaindah lumajang,https://www.tiktok.com/@cerita.bunda.indah/video/7551649411516976385,2025-09-19T04:16:42+00:00,2025-09-19T05:07:47.001123+00:00,38,857,3,3,0,0,"['#bundaindah', '#lumajang']",[],#pemerintah,,,7.551649411516976e+18,163.0,suara asli - Cerita Bunda Indah,Neutral,0.5382,Grateful,0.7423,unknown,"[""Indah Amperawati Bunda Indah"", ""Muhammad Hafiz Nazrie""]",,,"[""motor"", ""sepeda""]",
tiktok,infoindonesiatv21,@infoindonesiatv21,kades tak transparan warganet liat lapang pak korupsi minta audit kades danadesa korupsi indramayu jabat perintah dinastipolitik viral shorts fyp,https://www.tiktok.com/@infoindonesiatv21/video/7551650894207601941,2025-09-19T04:22:27+00:00,2025-09-19T05:07:31.907338+00:00,33,299,0,3,0,0,"['#kades', '#danadesa2025', '#korupsi', '#indramayu', '#pejabat', '#pemerintah', '#dinastipolitik', '#viral', '#shorts', '#fypシ']",[],#pemerintah,,,7.551650894207603e+18,60.0,original sound - iNFOINDONESIA TV,Neutral,0.8353,Stress,0.9869,unknown,,"[""Danadesa Korupsi""]",,,
tiktok,september88999,@september88999,negara kerja rakyat negara layan rakyat negara boleh ambil untung rakyat perintah pemerintahindonesia penegakhukumnegara aniesbaswedan,https://www.tiktok.com/@september88999/video/7434519270589009208,2024-11-07T12:51:57+00:00,2025-09-19T05:27:44.448430+00:00,21600,246700,1331,3802,0,0,"['#pemerintah', '#pemerintahindonesia', '#penegakhukum', '#negara', '#aniesbaswedan']",[],#pemerintah,,,7.43451927058901e+18,48.0,DJ TETEH BABA ASAP X TENANG AJA FT ALL,Negative,0.7676,Stress,0.8673,unknown,"[""Anies Baswedan""]",,,,
tiktok,partainasdem,@partainasdem,ketua umum partai nasdem surya paloh ingat siapa jangan pancing emosi rakyat masyarakat tak terus suguh praktik negara bisa pancing marah semut jika injak terus terus akan lawan kumpulakbarjis ber beraniberubah suryapaloh aminajadulu itstime gerakanperubahan,https://www.tiktok.com/@partainasdem/video/7334002143440997637,2024-02-10T15:54:03+00:00,2025-09-19T05:28:25.950259+00:00,176400,8100000,6474,8079,0,0,"['#KumpulAkbarJIS01', '#Ber1BeraniBerubah', '#SuryaPaloh', '#AMINAjaDulu', '#ItsTime', '#GerakanPerubahan']",[],#politik,,,7.334002143440996e+18,77.0,suara asli - Partai NasDem,Positive,0.6745,Stress,0.9042,unknown,"[""Surya Paloh"", ""Suryapaloh Aminajad""]","[""Partai Nasdem""]",,,"[""Surya Paloh""]"
tiktok,rapimnjadiyai01,@rapimnjadiyai01,lekas sembuh indonesia ku indonesiacemas demo adil indonesia bakar,https://www.tiktok.com/@rapimnjadiyai01/video/7544541594440043781,2025-08-31T00:34:44+00:00,2025-09-19T05:28:56.505065+00:00,314800,2500000,14400,5278,0,0,"['#indonesiacemas', '#demo', '#keadilan', '#indonesia', '#bakar']",[],#indonesia,,,7.544541594440044e+18,24.0,suara asli - indobarbar222d,Positive,0.8588,Grateful,0.8313,unknown,,,,,
tiktok,mosquejourney,@mosquejourney,demo indonesia jadi bincang dunia ini indonesia demodpr prayforindonesia fyppppppppppppppppppppppp,https://www.tiktok.com/@mosquejourney/video/7545681287072271634,2025-09-03T02:17:15+00:00,2025-09-19T05:28:48.451870+00:00,3345,119400,273,148,0,0,"['#indonesia', '#demodpr', '#prayforindonesia', '#fyppppppppppppppppppppppp']",[],#indonesia,,,7.54568128707227e+18,24.0,Breaking News,Neutral,0.9495,Happy,0.7298,unknown,,,,,
tiktok,romdutsongs,@romdutsongs,indonesian baddie song salindry reall minaj nikensalindry dance jerseyclub jawapride dancetiktok,https://www.tiktok.com/@romdutsongs/video/7541022743983181061,2025-08-21T12:59:44+00:00,2025-09-19T05:29:06.546934+00:00,199500,3400000,8132,518,0,0,"['#nikensalindry', '#dance', '#jerseyclub', '#jawapride', '#dancetiktok']",['@Niken'],#indonesia,,,7.541022743983181e+18,15.0,original sound - unul,Neutral,0.9324,Happy,0.9761,unknown,"[""Salindry Real""]","[""Dry Dance Jerseyclub"", ""Jawapride Dance""]",,"[""dance""]",
tiktok,cantikberjoget,@cantikberjoget,,https://www.tiktok.com/@cantikberjoget/video/7533234292776783109,2025-07-31T13:16:33+00:00,2025-09-19T05:28:42.433299+00:00,4885,402100,745,173,0,0,[],[],#indonesia,,,7.533234292776783e+18,15.0,เสียงต้นฉบับ - DJ.OAT.REMIX【OFFICIAL】,unknown,0.0,unknown,0.0,unknown,,,,,
twitter,@FKP_Indonesia,Forum Kajian Pembangunan,konde co pestap festival musik arena tempur ideologi ekonomi politik pakai alat artwashing alat artwashing praktik guna seni baik citra individu usaha organisasi,https://x.com/FKP_Indonesia/status/1968827383886266549,2025-09-19T00:00:02.000Z,2025-09-19 12:33:00,1,147,0,0,0,0,[],[],,,Indonesia,,,,Neutral,0.9118,Stress,0.9925,unknown,,,,"[""musik""]",
tiktok,harapanrakyat.com,@harapanrakyat.com,menteri ara sebut kur rumah jadi bukti pihak perintah rakyat bandung beritabandung infobandung infojawabarat beritajawabarat kabarjawabarat harapanrakyat harapanrakyatonline tiktokberita,https://www.tiktok.com/@harapanrakyat.com/video/7551650750565321991,2025-09-19T04:21:51+00:00,2025-09-19T05:27:40.430143+00:00,60,3907,1,5,0,0,"['#bandung', '#beritabandung', '#infobandung', '#infojawabarat', '#beritajawabarat', '#kabarjawabarat', '#harapanrakyat', '#harapanrakyatonline', '#tiktokberita']",[],#pemerintah,,,7.551650750565323e+18,203.0,original sound - harapanrakyat.com,Neutral,0.96,Stress,0.9908,unknown,,"[""Yat Harapan""]",,,
tiktok,idntimes,@idntimes,perintah umum paket ekonomi perintah umum program paket ekonomi serap tenaga kerja menteri koordinator bidang ekonomi airlangga hartarto merinci apa paket program sebut rapat pak presiden tadi bahas kait bijak akan ambil kita beri nama program paket ekonomi tahun diri program akselerasi empat program lanjut dan program yang kait andal perintah kait serap tenaga kerja ujar airlangga kantor presiden senin idntimes tiktoknews tiktokberita idntimes nai tiktoktainment tiktoknews viral salingjagasesamawarga idntimesnews menko airlanggahartanto,https://www.tiktok.com/@idntimes/video/7550236430379879698,2025-09-15T08:53:33+00:00,2025-09-19T05:27:34.383401+00:00,186,10500,44,14,0,0,"['#IDNTimes', '#tiktoknews', '#tiktokberita', '#IDNTimes_NAI', '#tiktoktainment', '#TikTokNews', '#Viral', '#salingjagasesamawarga', '#IDNTimesNews', '#Menko', '#AirlanggaHartanto']",[],#pemerintah,,,7.550236430379878e+18,98.0,original sound - IDN Times,Neutral,0.9563,Stress,0.9931,unknown,"[""Airlangga Hartarto""]","[""Idntimes Naitainment"", ""Kantor Presiden""]",,,"[""Airlangga Hartarto""]"
